,,,Revised Habitat,Revised Web,Zoogeographic Region,Combined Proximal Distribution,Halophilicity,Female Cribellum
Adenodictyna_kudoae_UCE,Adenodictyna kudoae [Japan],,0,NA,"9,10",1,NA,0
Agelena_sp_UCE,Agelena sp.,,0,1,"9,10",0,NA,3
Agelenidae_sp_UCE,Agelenidae sp (nr Draconarius),,0,1,"9,10",NA,NA,4
Agelenopsis_emertoni_UCE,Agelenopsis emertoni,,0,1,6,NA,NA,4
Agelenopsis_pennsylvanica_UCE,Agelenopsis pennsylvanica,,0,1,6,NA,NA,4
Ajmonia_sp_China_UCE,Ajmonia cf. gratiosa,,NA,NA,2,NA,NA,0
Ajmonia_sp_SouthAfrica_8899_UCE,Ajmonia sp.,,NA,NA,"2, 9, 10",NA,NA,0
Allagelena_opulenta_UCE,Allagelena opulenta,,0,1,"9,10",1,NA,4
Altella_lucida_Canada_UCE,Altella lucida,,NA,1,10,2,NA,0
Amaurobius_fenestralis_UCE,Amaurobius fenestralis,,0,1,10,0,NA,0
Amaurobius_ferox_UCE,Amaurobius ferox,,0,1,"6,7","1,0",NA,0
Amphinecta_sp_UCE,Amphinecta sp.,,0,0,8,1,NA,2
Anaxibia_caudiculata_Myanmar_UCE,Anaxibia caudiculata,,NA,NA,10,NA,NA,NA
Anaxibia_difficilis_SaoTome_UCE,Anaxibia difficilis,,NA,NA,2,NA,NA,0
Aorangia_sp_UCE,Aorangia sp.,,0,1,8,1,NA,2
Arangina_sp_NewZealand_UCE,Arangina sp.,,NA,NA,8,1,NA,0
Arctella_lapponica_Canada_UCE,Arctella lapponica,,NA,NA,6,0,NA,0
Argenna_obesa_Canada_UCE,Argenna obesa,,NA,1,6,10,NA,0
Argenna_subnigra_Finland_UCE,Argenna subnigra,,NA,1,10,NA,NA,0
Argyroneta_aquatica_Belgium_UCE,Argyroneta aquatica,,1,0,"9,10",0,NA,3
Badumna_longinqua_UCE,Badumna longinqua,,0,1,1,1,NA,0
Bannaella_tibialis_China_UCE,Bannaella tibialis,,NA,NA,"9, 10",0,NA,0
Barronopsis_texana_UCE,Barronopsis texana,,0,1,6,NA,NA,4
Blabomma_sp_UCE,Blabomma sp.,,0,1,6,1,NA,4
Brigittea_latens_Bulgaria_UCE,Brigittea latens,,NA,1,10,NA,NA,0
